"datetime.local","gas","amu","sample.id","sample.inlet","percent.saturation","umolL","umolL.sd","Ar_ratio","Ar_ratio.sd"
2024-09-04 14:28:35.735135,"CH4",16,1," Inlet 2 ",97.9818746357095,23.6679694108061,0.760325589840614,4.47256931354839,0
2024-09-04 14:28:35.735135,"N2",28,1," Inlet 2 ",102.08918776203,425.244888353847,0.98052356231157,26.8141190875676,0
2024-09-04 14:28:35.735135,"O2",32,1," Inlet 2 ",101.002796140291,231.813767995619,0.613661742848799,13.707714786401,0
2024-09-04 14:28:35.735135,"CO2",44,1," Inlet 2 ",113.359142905787,14.1239374186058,0.131278993488389,0.851209708153006,0
2024-09-04 14:32:34.209039,"CH4",16,2,"Reference",100.841148767314,24.3586401387904,0.827550768445592,4.71078624008371,0
2024-09-04 14:32:34.209039,"N2",28,2,"Reference",100.36180627893,418.049609774127,1.24805404297414,27.6660123923517,0
2024-09-04 14:32:34.209039,"O2",32,2,"Reference",99.9677761841087,229.438270631565,0.668115999413247,14.2735544838243,0
2024-09-04 14:32:34.209039,"CO2",44,2,"Reference",97.2342127071012,12.1148581404138,0.0918783371605098,0.771025011697535,0
2024-09-04 14:36:53.885135,"CH4",16,3," Inlet 1 ",99.4576042607182,24.0244386430308,0.820228235266268,4.43064195956165,0
2024-09-04 14:36:53.885135,"N2",28,3," Inlet 1 ",102.874840868412,428.517467701696,1.14878221115837,26.7295390588629,0
2024-09-04 14:36:53.885135,"O2",32,3," Inlet 1 ",96.4359317309348,221.332255729488,0.571136151611099,13.0274570703669,0
2024-09-04 14:36:53.885135,"CO2",44,3," Inlet 1 ",127.551067160723,15.8921745884379,0.112758750884124,0.932336724793174,0
2024-09-04 14:41:02.73718,"CH4",16,4,"Reference",101.714525284995,24.5696082263213,0.864564127472544,4.71889371386671,0
2024-09-04 14:41:02.73718,"N2",28,4,"Reference",100.049080345916,416.746973252225,1.17910174480187,27.5872422038933,0
2024-09-04 14:41:02.73718,"O2",32,4,"Reference",99.8703480681835,229.214661191784,0.59514464488753,14.2719690863872,0
2024-09-04 14:41:02.73718,"CO2",44,4,"Reference",98.2805860852152,12.245230616159,0.0735873534253354,0.773146683236792,0
2024-09-04 14:44:52.26178,"CH4",16,5," Inlet 2 ",106.694684140436,25.7725883477955,0.786405894193497,4.46828749770106,0
2024-09-04 14:44:52.26178,"N2",28,5," Inlet 2 ",102.474554273891,426.850103782673,1.02413213400581,26.6749546662962,0
2024-09-04 14:44:52.26178,"O2",32,5," Inlet 2 ",101.809369634326,233.664952794087,0.675740028953461,13.6833009929781,0
2024-09-04 14:44:52.26178,"CO2",44,5," Inlet 2 ",115.43920452829,14.3831018708944,0.114530434837517,0.8471042356064,0
2024-09-04 14:48:53.102273,"CH4",16,6,"Reference",98.8212923025937,23.8707345827991,0.671307499306975,4.70175312027285,0
2024-09-04 14:48:53.102273,"N2",28,6,"Reference",99.944597397942,416.311757334459,0.992590610514106,27.5169165209007,0
2024-09-04 14:48:53.102273,"O2",32,6,"Reference",99.9679648856213,229.438703724612,0.571176750868546,14.2658701125498,0
2024-09-04 14:48:53.102273,"CO2",44,6,"Reference",98.476572203632,12.2696494287971,0.109919898125584,0.77037939296706,0
2024-09-04 14:53:14.678322,"CH4",16,7," Inlet 1 ",92.8697779256609,22.433119097844,0.896139765493842,4.38752922482399,0
2024-09-04 14:53:14.678322,"N2",28,7," Inlet 1 ",103.054453272096,429.265629757106,1.56072838895686,26.6619125646404,0
2024-09-04 14:53:14.678322,"O2",32,7," Inlet 1 ",95.362347977506,218.868249735085,0.626737659579777,12.8408701391527,0
2024-09-04 14:53:14.678322,"CO2",44,7," Inlet 1 ",129.124472561685,16.088212409893,0.0909728279433142,0.934861859762554,0
2024-09-04 14:57:23.516556,"CH4",16,8,"Reference",100.541939487527,24.2863647704352,0.653366105708448,4.68136765762751,0
2024-09-04 14:57:23.516556,"N2",28,8,"Reference",100.971393446886,420.588799602766,1.27039090798122,27.6503184571199,0
2024-09-04 14:57:23.516556,"O2",32,8,"Reference",100.405830822756,230.443659593588,0.505096349559278,14.2361633712227,0
2024-09-04 14:57:23.516556,"CO2",44,8,"Reference",99.0032053019477,12.3352650706634,0.0840537355069384,0.767274709534879,0
2024-09-04 15:01:16.341969,"CH4",16,9," Inlet 2 ",103.274475805728,24.9464214006392,0.702183029103717,4.45351024042897,0
2024-09-04 15:01:16.341969,"N2",28,9," Inlet 2 ",102.368619574598,426.40884070319,1.77880047821667,26.628069041986,0
2024-09-04 15:01:16.341969,"O2",32,9," Inlet 2 ",101.497164414778,232.948403638053,0.725048757078838,13.6399125481135,0
2024-09-04 15:01:16.341969,"CO2",44,9," Inlet 2 ",115.706723153424,14.416433247816,0.0965593651092036,0.844764095555145,0
2024-09-04 15:05:16.692308,"CH4",16,10,"Reference",98.4008033845558,23.7691635638049,0.731611424891503,4.70736673151086,0
2024-09-04 15:05:16.692308,"N2",28,10,"Reference",99.7413358042541,415.465086344031,2.81771271227788,27.4886834661435,0
2024-09-04 15:05:16.692308,"O2",32,10,"Reference",99.8003779613132,229.054071240411,0.818998831668222,14.2647577439295,0
2024-09-04 15:05:16.692308,"CO2",44,10,"Reference",98.8995933220327,12.322355577149,0.0799486310591793,0.770371550924869,0
2024-09-04 15:09:34.028369,"CH4",16,11," Inlet 1 ",93.5552001547202,22.5986859683614,0.793773899227197,4.36230708957832,0
2024-09-04 15:09:34.028369,"N2",28,11," Inlet 1 ",103.740150299001,432.121849519874,1.26331536892656,26.6780008258053,0
2024-09-04 15:09:34.028369,"O2",32,11," Inlet 1 ",94.9724247679066,217.973328288349,0.606338534963511,12.709394616814,0
2024-09-04 15:09:34.028369,"CO2",44,11," Inlet 1 ",130.86197254069,16.3046955301711,0.101113809878744,0.93866997095251,0
2024-09-04 15:13:42.879195,"CH4",16,12,"Reference",98.9418451581588,23.8998546757602,0.731936413071097,4.66375438685196,0
2024-09-04 15:13:42.879195,"N2",28,12,"Reference",100.790155485815,419.833866409443,1.10540733802274,27.5247007080974,0
2024-09-04 15:13:42.879195,"O2",32,12,"Reference",100.552031749468,230.779208598176,0.625291898455696,14.2190191997996,0
2024-09-04 15:13:42.879195,"CO2",44,12,"Reference",99.4417954356502,12.3899110342976,0.0831862050530965,0.765324774318329,0
2024-09-04 15:17:34.753846,"CH4",16,13," Inlet 2 ",103.352056976458,24.9651614868286,0.880417253468166,4.44319453555309,0
2024-09-04 15:17:34.753846,"N2",28,13," Inlet 2 ",102.351572710515,426.337833263788,4.28076416598462,26.5540739490829,0
2024-09-04 15:17:34.753846,"O2",32,13," Inlet 2 ",101.663293845806,233.32969099695,1.31932498936643,13.625974069387,0
2024-09-04 15:17:34.753846,"CO2",44,13," Inlet 2 ",116.22342697882,14.4808117558637,0.112739275547084,0.843963548484248,0
2024-09-04 15:21:33.711765,"CH4",16,14,"Reference",95.2053529553452,22.9972879154415,0.799301704105041,4.6952982199102,0
2024-09-04 15:21:33.711765,"N2",28,14,"Reference",99.7611460041695,415.547604252499,1.76773292541498,27.4938871636982,0
2024-09-04 15:21:33.711765,"O2",32,14,"Reference",99.7002720703311,228.824315979429,0.789104994880314,14.2538361687195,0
2024-09-04 15:21:33.711765,"CO2",44,14,"Reference",99.1754156350402,12.3567215487655,0.102783501451592,0.769753343947405,0
2024-09-04 15:25:59.047244,"CH4",16,15," Inlet 1 ",88.6058099622814,21.4031381579903,0.779804690728333,4.36837986739012,0
2024-09-04 15:25:59.047244,"N2",28,15," Inlet 1 ",103.118323750908,429.531677467224,1.20330656732437,26.6575401301049,0
2024-09-04 15:25:59.047244,"O2",32,15," Inlet 1 ",93.0205024002824,213.493427769106,0.66492513472275,12.5484774699814,0
2024-09-04 15:25:59.047244,"CO2",44,15," Inlet 1 ",131.972636693997,16.4430782895347,0.0902734102664192,0.950278863399417,0
2024-09-04 15:30:01.766234,"CH4",16,16,"Reference",97.3552807945992,23.5166128061326,0.802935223198251,4.70304791557086,0
2024-09-04 15:30:01.766234,"N2",28,16,"Reference",100.1824754429,417.302620567749,1.08719542190889,27.6098697966378,0
2024-09-04 15:30:01.766234,"O2",32,16,"Reference",99.6103019861141,228.617823634403,0.782453502481747,14.2386676845782,0
2024-09-04 15:30:01.766234,"CO2",44,16,"Reference",99.7023234910073,12.4223714239524,0.0793933348311402,0.772380972001787,0
2024-09-04 15:33:52.714286,"CH4",16,17," Inlet 2 ",99.2017708529534,23.9626409147085,0.697107247059612,4.45024281743574,0
2024-09-04 15:33:52.714286,"N2",28,17," Inlet 2 ",102.266310727898,425.982680841932,1.28108420427703,26.6664555705438,0
2024-09-04 15:33:52.714286,"O2",32,17," Inlet 2 ",101.11155044513,232.063372423951,0.794376152402425,13.6306757862264,0
2024-09-04 15:33:52.714286,"CO2",44,17," Inlet 2 ",116.108796409938,14.4665294056302,0.0912655697202741,0.845819371092111,0
2024-09-04 15:37:51.643275,"CH4",16,18,"Reference",97.7524853760674,23.6125593872628,0.71869577742399,4.72572328295492,0
2024-09-04 15:37:51.643275,"N2",28,18,"Reference",99.7180903146323,415.368258992814,0.941104733535668,27.5926898365036,0
